Case,Mean,Std Dev,Min,Max,Variance
DL,6.597845601436266e-14,5.953347920105978e-13,-1e-12,2e-12,3.544235145783017e-25
UL,7.864406779661016e-14,7.552966691549888e-13,-1e-12,2e-12,5.704730584366207e-25
UEUE,1.3533834586466167e-13,7.851228730583874e-13,-1e-12,2e-12,6.164179257994567e-25
