,runID,module,name,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,interpolationmode,moduledisplaypath,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,QFITime-0-20250107-02:18:34-712885,TimeSyncUEUE.EsteiraS1.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.0067306043327621376,0.0018912923288431137,0.004557838522,0.015001351301,0.0,0.0,[0.0032 0.0034 0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00 5.200e+01 2.770e+02 8.200e+02 1.098e+03 9.280e+02 6.910e+02 7.350e+02 6.060e+02 4.680e+02 4.430e+02 3.990e+02 3.330e+02 2.610e+02 2.910e+02 3.170e+02 2.230e+02 1.690e+02 1.500e+02 1.060e+02 3.900e+01 2.200e+01 1.000e+01 7.000e+00 1.000e+01 2.000e+01 2.700e+01 4.100e+01 2.700e+01 4.200e+01 4.000e+01 6.400e+01 9.500e+01 1.310e+02 1.420e+02 1.630e+02 1.370e+02 8.500e+01 5.700e+01 1.300e+01 7.000e+00 1.100e+01 1.000e+01 1.100e+01 5.000e+00 4.000e+00 4.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00 1.000e+00],none,TimeSyncUEUE.EsteiraS1.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,QFITime,20250107-02:18:34,20250107-021834,QFITime,omnetpp.ini,,,,,TimeSyncUEUE,712885,0,#0,results,0,0
2,QFITime-0-20250107-02:18:34-712885,TimeSyncUEUE.EsteiraS2.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.006828766266330173,0.001878021534187676,0.00461994878,0.01525818223,0.0,0.0,[0.003  0.0032 0.0034 0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+01 1.420e+02 5.630e+02 1.032e+03 1.053e+03 7.200e+02 6.500e+02 6.860e+02 5.280e+02 4.860e+02 4.610e+02 3.490e+02 2.830e+02 2.920e+02 3.280e+02 2.560e+02 1.970e+02 1.690e+02 1.160e+02 7.000e+01 2.800e+01 1.600e+01 8.000e+00 5.000e+00 1.700e+01 2.000e+01 3.100e+01 3.100e+01 3.800e+01 4.500e+01 6.200e+01 7.400e+01 1.480e+02 1.430e+02 1.580e+02 1.360e+02 1.000e+02 6.600e+01 3.100e+01 9.000e+00 5.000e+00 8.000e+00 4.000e+00 1.600e+01 4.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.EsteiraS2.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,QFITime,20250107-02:18:34,20250107-021834,QFITime,omnetpp.ini,,,,,TimeSyncUEUE,712885,0,#0,results,0,0
4,QFITime-0-20250107-02:18:34-712885,TimeSyncUEUE.EsteiraS3.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.006601086313760054,0.0018662967512565083,0.004571889319,0.016511948686,0.0,0.0,[0.0026 0.0028 0.003  0.0032 0.0034 0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154 0.0156 0.0158 0.016  0.0162 0.0164 0.0166],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.000e+00 1.390e+02 5.990e+02 1.027e+03 1.037e+03 8.270e+02 6.910e+02 6.620e+02 5.260e+02 4.270e+02 4.100e+02 3.470e+02 2.660e+02 2.900e+02 3.350e+02 2.770e+02 2.040e+02 1.760e+02 1.130e+02 7.800e+01 3.600e+01 1.400e+01 8.000e+00 8.000e+00 1.200e+01 1.800e+01 2.900e+01 4.500e+01 3.400e+01 4.300e+01 3.700e+01 8.400e+01 1.320e+02 1.450e+02 1.470e+02 1.110e+02 1.000e+02 8.300e+01 2.400e+01 8.000e+00 7.000e+00 6.000e+00 7.000e+00 8.000e+00 9.000e+00 0.000e+00 0.000e+00 5.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 2.000e+00],none,TimeSyncUEUE.EsteiraS3.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,QFITime,20250107-02:18:34,20250107-021834,QFITime,omnetpp.ini,,,,,TimeSyncUEUE,712885,0,#0,results,0,0
1,QFITime-0-20250107-02:18:34-712885,TimeSyncUEUE.RoboS1.app[1].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.006154110509364868,0.00048111245913625463,0.005072334856,0.007151145717,0.0,0.0,[0.0046  0.00465 0.0047  0.00475 0.0048  0.00485 0.0049  0.00495 0.005   0.00505 0.0051  0.00515 0.0052  0.00525 0.0053  0.00535 0.0054  0.00545 0.0055  0.00555 0.0056  0.00565 0.0057  0.00575 0.0058  0.00585 0.0059  0.00595 0.006   0.00605 0.0061  0.00615 0.0062  0.00625 0.0063  0.00635 0.0064  0.00645 0.0065  0.00655 0.0066  0.00665 0.0067  0.00675 0.0068  0.00685 0.0069  0.00695 0.007   0.00705 0.0071  0.00715 0.0072  0.00725 0.0073  0.00735 0.0074  0.00745 0.0075  0.00755 0.0076 ],[  0.   0.   0.   0.   0.   0.   0.   0.   0.  51. 108. 103. 106.  92.  88.  97. 121. 102. 144. 156. 206. 223. 295. 341. 385. 384. 390. 431. 388. 419. 399. 332. 323. 324. 288. 288. 229. 270. 220. 229. 246. 247. 230. 222. 213. 209. 218. 169. 191. 117.   3.   1.   0.   0.   0.   0.   0.   0.   0.   0.],none,TimeSyncUEUE.RoboS1.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,QFITime,20250107-02:18:34,20250107-021834,QFITime,omnetpp.ini,,,,,TimeSyncUEUE,712885,0,#0,results,0,0
3,QFITime-0-20250107-02:18:34-712885,TimeSyncUEUE.RoboS2.app[1].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.006378058732977079,0.0004865273146608631,0.005285767827,0.007394772059,0.0,0.0,[0.0049  0.00495 0.005   0.00505 0.0051  0.00515 0.0052  0.00525 0.0053  0.00535 0.0054  0.00545 0.0055  0.00555 0.0056  0.00565 0.0057  0.00575 0.0058  0.00585 0.0059  0.00595 0.006   0.00605 0.0061  0.00615 0.0062  0.00625 0.0063  0.00635 0.0064  0.00645 0.0065  0.00655 0.0066  0.00665 0.0067  0.00675 0.0068  0.00685 0.0069  0.00695 0.007   0.00705 0.0071  0.00715 0.0072  0.00725 0.0073  0.00735 0.0074  0.00745 0.0075  0.00755 0.0076  0.00765 0.0077  0.00775 0.0078 ],[  0.   0.   0.   0.   0.   0.   0.  26.  91.  85.  90. 100.  94.  99. 103. 118. 133. 186. 186. 232. 291. 321. 336. 384. 375. 411. 405. 427. 404. 346. 348. 298. 278. 269. 256. 220. 216. 231. 228. 228. 242. 235. 216. 238. 212. 232. 200. 205.   1.   2.   0.   0.   0.   0.   0.   0.   0.   0.],none,TimeSyncUEUE.RoboS2.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,QFITime,20250107-02:18:34,20250107-021834,QFITime,omnetpp.ini,,,,,TimeSyncUEUE,712885,0,#0,results,0,0
