,runID,module,name,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,interpolationmode,moduledisplaypath,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,Apps-0-20250107-00:52:00-682654,TimeSyncUEUE.EsteiraS1.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.007240543295005001,0.0018196859452239993,0.005100727164,0.019946049177,0.0,0.0,[0.0032 0.0034 0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154 0.0156 0.0158 0.016  0.0162 0.0164 0.0166 0.0168 0.017  0.0172 0.0174 0.0176 0.0178 0.018  0.0182 0.0184 0.0186 0.0188 0.019  0.0192 0.0194 0.0196 0.0198 0.02  ],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.000e+00 5.300e+01 4.100e+02 9.780e+02 1.303e+03 9.240e+02 6.040e+02 5.610e+02 5.170e+02 4.450e+02 4.320e+02 3.650e+02 2.800e+02 2.670e+02 2.750e+02 3.090e+02 2.700e+02 1.360e+02 8.700e+01 4.700e+01 2.000e+01 1.300e+01 8.000e+00 1.100e+01 1.800e+01 4.800e+01 9.600e+01 1.280e+02 1.480e+02 1.310e+02 1.090e+02 1.060e+02 9.100e+01 7.000e+01 5.900e+01 6.200e+01 6.700e+01 6.300e+01 3.800e+01 1.600e+01 5.000e+00 2.000e+00 4.000e+00 2.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.EsteiraS1.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,Apps,20250107-00:52:00,20250107-005200,Apps,omnetpp.ini,,,,,TimeSyncUEUE,682654,0,#0,results,0,0
2,Apps-0-20250107-00:52:00-682654,TimeSyncUEUE.EsteiraS2.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.007359799470460409,0.001853503417097521,0.005238337902,0.017854932379,0.0,0.0,[0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154 0.0156 0.0158 0.016  0.0162 0.0164 0.0166 0.0168 0.017  0.0172 0.0174 0.0176 0.0178 0.018 ],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.400e+01 1.980e+02 6.840e+02 1.198e+03 1.191e+03 7.100e+02 5.490e+02 5.410e+02 4.820e+02 4.370e+02 3.720e+02 2.990e+02 2.960e+02 2.940e+02 3.160e+02 2.640e+02 1.840e+02 8.600e+01 6.800e+01 3.200e+01 1.200e+01 6.000e+00 6.000e+00 9.000e+00 3.500e+01 9.000e+01 1.490e+02 1.400e+02 1.450e+02 1.160e+02 1.120e+02 9.800e+01 6.200e+01 6.500e+01 4.900e+01 6.000e+01 8.700e+01 6.600e+01 2.500e+01 8.000e+00 4.000e+00 0.000e+00 3.000e+00 1.000e+00 5.000e+00 2.000e+00 3.000e+00 5.000e+00 2.000e+00 2.000e+00 4.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.EsteiraS2.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,Apps,20250107-00:52:00,20250107-005200,Apps,omnetpp.ini,,,,,TimeSyncUEUE,682654,0,#0,results,0,0
4,Apps-0-20250107-00:52:00-682654,TimeSyncUEUE.EsteiraS3.app[0].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.007142252931947905,0.0018434875749866093,0.005051855685,0.02178765056,0.0,0.0,[0.0032 0.0036 0.004  0.0044 0.0048 0.0052 0.0056 0.006  0.0064 0.0068 0.0072 0.0076 0.008  0.0084 0.0088 0.0092 0.0096 0.01   0.0104 0.0108 0.0112 0.0116 0.012  0.0124 0.0128 0.0132 0.0136 0.014  0.0144 0.0148 0.0152 0.0156 0.016  0.0164 0.0168 0.0172 0.0176 0.018  0.0184 0.0188 0.0192 0.0196 0.02   0.0204 0.0208 0.0212 0.0216 0.022 ],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.500e+01 9.060e+02 2.429e+03 1.255e+03 9.760e+02 8.110e+02 6.020e+02 5.780e+02 4.920e+02 1.490e+02 4.900e+01 7.000e+00 4.800e+01 2.480e+02 2.580e+02 2.430e+02 1.700e+02 1.160e+02 1.260e+02 7.700e+01 1.400e+01 7.000e+00 6.000e+00 2.000e+00 8.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.EsteiraS3.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,Apps,20250107-00:52:00,20250107-005200,Apps,omnetpp.ini,,,,,TimeSyncUEUE,682654,0,#0,results,0,0
1,Apps-0-20250107-00:52:00-682654,TimeSyncUEUE.RoboS1.app[1].sink,meanBitLifeTimePerPacket:histogram,9597.0,9597.0,0.007082449710604668,0.001846967650859024,0.004898885283,0.016363158911,0.0,0.0,[0.003  0.0032 0.0034 0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154 0.0156 0.0158 0.016  0.0162 0.0164],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00 4.700e+01 3.300e+02 9.360e+02 1.268e+03 1.031e+03 6.890e+02 5.090e+02 4.910e+02 4.280e+02 4.330e+02 3.470e+02 3.050e+02 2.860e+02 2.550e+02 2.910e+02 2.760e+02 1.530e+02 7.200e+01 5.900e+01 2.800e+01 8.000e+00 1.100e+01 8.000e+00 5.000e+00 4.100e+01 1.240e+02 1.620e+02 1.410e+02 1.330e+02 1.120e+02 9.000e+01 8.200e+01 7.100e+01 7.000e+01 6.500e+01 5.900e+01 6.200e+01 5.900e+01 2.500e+01 2.000e+00 3.000e+00 5.000e+00 2.000e+00 6.000e+00 4.000e+00 6.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.RoboS1.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,Apps,20250107-00:52:00,20250107-005200,Apps,omnetpp.ini,,,,,TimeSyncUEUE,682654,0,#0,results,0,0
3,Apps-0-20250107-00:52:00-682654,TimeSyncUEUE.RoboS2.app[1].sink,meanBitLifeTimePerPacket:histogram,9598.0,9598.0,0.007322036884408105,0.0018561463812163453,0.0052472891,0.019450714572,0.0,0.0,[0.0036 0.0038 0.004  0.0042 0.0044 0.0046 0.0048 0.005  0.0052 0.0054 0.0056 0.0058 0.006  0.0062 0.0064 0.0066 0.0068 0.007  0.0072 0.0074 0.0076 0.0078 0.008  0.0082 0.0084 0.0086 0.0088 0.009  0.0092 0.0094 0.0096 0.0098 0.01   0.0102 0.0104 0.0106 0.0108 0.011  0.0112 0.0114 0.0116 0.0118 0.012  0.0122 0.0124 0.0126 0.0128 0.013  0.0132 0.0134 0.0136 0.0138 0.014  0.0142 0.0144 0.0146 0.0148 0.015  0.0152 0.0154 0.0156 0.0158 0.016  0.0162 0.0164 0.0166 0.0168 0.017  0.0172 0.0174 0.0176 0.0178 0.018  0.0182 0.0184 0.0186 0.0188 0.019  0.0192 0.0194 0.0196],[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.600e+01 2.870e+02 8.680e+02 1.236e+03 1.065e+03 6.460e+02 5.720e+02 5.140e+02 4.470e+02 4.220e+02 3.390e+02 2.850e+02 3.090e+02 2.680e+02 3.190e+02 2.600e+02 1.480e+02 8.900e+01 6.000e+01 3.100e+01 1.000e+01 6.000e+00 9.000e+00 1.500e+01 4.300e+01 9.500e+01 1.670e+02 1.450e+02 1.580e+02 1.050e+02 9.900e+01 1.100e+02 7.000e+01 5.500e+01 5.400e+01 7.200e+01 7.900e+01 5.100e+01 2.300e+01 6.000e+00 4.000e+00 5.000e+00 3.000e+00 0.000e+00 1.000e+00 3.000e+00 2.000e+00 2.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00],none,TimeSyncUEUE.RoboS2.fromPLC.sink,histogram,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,Apps,20250107-00:52:00,20250107-005200,Apps,omnetpp.ini,,,,,TimeSyncUEUE,682654,0,#0,results,0,0
